"pathway","mut","gsea","adj","MiniMax","MiniMaxP","drivers","MiniMaxFDR"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.697709842631714,0.00262890324646026,1,0.697709842631714,0.781108131953964,"gsea and mut",1
"HALLMARK_SPERMATOGENESIS",0.733614011784325,0.45,1,0.733614011784325,0.824921811638315,"gsea and mut",1
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.755838295492217,0.733193277310924,1,0.755838295492217,0.850266555882652,"gsea and mut",1
"HALLMARK_NOTCH_SIGNALING",0.999999999999995,0.13946615290336,0.788954902624711,0.788954902624711,0.885179811877976,"adj and gsea",1
"HALLMARK_GLYCOLYSIS",0.351712005326239,0.804435483870968,1,0.804435483870968,0.900222477662088,"gsea and mut",1
"HALLMARK_E2F_TARGETS",0.80597082717772,0.000420317726030707,1,0.80597082717772,0.901667396962417,"gsea and mut",1
"HALLMARK_XENOBIOTIC_METABOLISM",0.806558433702952,1,0.0586053299971033,0.806558433702952,0.902218108663581,"adj and mut",1
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.811682657716922,1,0.381891043944094,0.811682657716922,0.906966490320658,"adj and mut",1
"HALLMARK_APICAL_SURFACE",0.821061399463669,0.276450511945392,1,0.821061399463669,0.915401809961409,"gsea and mut",1
"HALLMARK_P53_PATHWAY",0.829442091101467,1,0.606249180016048,0.829442091101467,0.922653058374383,"adj and mut",1
"HALLMARK_TGF_BETA_SIGNALING",0.839967734443121,1.82498645300198e-06,1,0.839967734443121,0.931365978931225,"gsea and mut",1
"HALLMARK_FATTY_ACID_METABOLISM",0.881997053690319,0.000159234083417324,1,0.881997053690319,0.961512224139346,"gsea and mut",1
"HALLMARK_PEROXISOME",0.901103048897866,0.000934193515488776,1,0.901103048897866,0.972592723600161,"gsea and mut",1
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.914409216143447,0.680293501048218,1,0.914409216143447,0.97927669205208,"gsea and mut",1
"HALLMARK_MYC_TARGETS_V1",0.967939061676197,0.840886203423968,1,0.967939061676197,0.996982199819894,"gsea and mut",1
"HALLMARK_ALLOGRAFT_REJECTION",0.670619804921561,0.972809667673716,1,0.972809667673716,0.99782226188002,"gsea and mut",1
"HALLMARK_G2M_CHECKPOINT",0.990490616053987,0.00911509912506506,1,0.990490616053987,0.99973043468733,"gsea and mut",1
"HALLMARK_ADIPOGENESIS",0.586198198542522,1,1,1,1,"gsea and mut",1
"HALLMARK_APOPTOSIS",0.999999999999999,0.000348872565172065,1,0.999999999999999,1,"gsea and mut",1
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.999999999999998,0.0482096310442163,1,0.999999999999998,1,"gsea and mut",1
"HALLMARK_COMPLEMENT",0.917221757062199,1,1,1,1,"gsea and mut",1
"HALLMARK_DNA_REPAIR",1,0.622335025380711,1,1,1,"gsea and mut",1
"HALLMARK_HYPOXIA",0.692581592946024,1,1,1,1,"gsea and mut",1
"HALLMARK_IL2_STAT5_SIGNALING",0.218025601703266,1,1,1,1,"gsea and mut",1
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.999999999999999,0.983887210473313,1,0.999999999999999,1,"gsea and mut",1
"HALLMARK_MITOTIC_SPINDLE",0.990976914511126,1,1,1,1,"gsea and mut",1
"HALLMARK_MTORC1_SIGNALING",0.586198198542522,1,1,1,1,"gsea and mut",1
"HALLMARK_MYC_TARGETS_V2",0.999999999999997,0.107929515418502,1,0.999999999999997,1,"gsea and mut",1
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.999999999999999,1,1,1,1,"gsea and mut",1
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.999999999999996,0.0627006008551009,1,0.999999999999996,1,"gsea and mut",1
"HALLMARK_UV_RESPONSE_UP",0.999999999999999,0.829292929292929,1,0.999999999999999,1,"gsea and mut",1
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.999999999999999,0.127037674604451,1,0.999999999999999,1,"gsea and mut",1
